"","x"
"OSBPL6",2
"OSR1",2
"OTUD7B",2
"OXGR1",2
"P3H2",2
"PAAF1",2
"PADI3",2
"PAICS",2
"PAIP2",2
"PALMD",2
"PAOX",2
"PAPD7",2
"PAPSS2",2
"PAQR3",2
"PARD6B",2
"PARG",2
"PARVG",2
"PASD1",2
"PASK",2
"PATE4",2
"PBX3",2
"PCDH11Y",2
"PCDH12",2
"PCDH19",2
"PCDHA9",2
"PCDHGB4",2
"PCMTD2",2
"PCNXL2",2
"PCP4L1",2
"PDCD2",2
"PDCL3",2
"PDE11A",2
"PDGFD",2
"PDK1",2
"PDLIM4",2
"PES1",2
"PEX12",2
"PEX26",2
"PF4V1",2
"PFDN4",2
"PGAP3",2
"PGBD3",2
"PGLYRP1",2
"PGM1",2
"PGM2",2
"PHF10",2
"PHGDH",2
"PHKG2",2
"PHTF1",2
"PIK3R1",2
"PILRB",2
"PIP5KL1",2
"PITX1",2
"PJA1",2
"PKD1",2
"PKD2L1",2
"PKM",2
"PKNOX1",2
"PLA2G2D",2
"PLA2G7",2
"PLAC4",2
"PLCE1",2
"PLEKHA6",2
"PLG",2
"PLGLB2",2
"PLTP",2
"PLVAP",2
"PLXNB1",2
"PMM1",2
"PMS1",2
"PNKD",2
"PNRC2",2
"POLD2",2
"POLE2",2
"POLE3",2
"POLG",2
"POLH",2
"POLI",2
"POLR1A",2
"POLR3F",2
"POLR3G",2
"POMP",2
"PORCN",2
"POT1",2
"POTEF",2
"POTEM",2
"POU5F2",2
"PPA1",2
"PPAP2C",2
"PPAPDC1B",2
"PPAT",2
"PPIB",2
"PPIH",2
"PPIL1",2
"PPP1R12A",2
"PPP1R14B",2
"PPP2R2C",2
"PPP6R2",2
"PRAC2",2
"PRAMEF1",2
"PRAMEF6",2
"PRC1",2
"PRDM13",2
"PRDM7",2
"PREB",2
"PRKAA1",2
"PRKCA",2
"PRKDC",2
"PROSER2",2
"PRPF40A",2
"PRR20A",2
"PRR23C",2
"PRSS1",2
"PRSS2",2
"PSD2",2
"PSEN2",2
"PSMA5",2
"PSMA8",2
"PSMB9",2
"PSMF1",2
"PSTPIP2",2
"PTAFR",2
"PTCHD4",2
"PTGES",2
"PTGFR",2
"PTN",2
"PTPN21",2
"PTPN22",2
"PTPRA",2
"PTPRH",2
"PTPRK",2
"PTPRS",2
"PTPRT",2
"PUS7",2
"PUS7L",2
"PVR",2
"PYGO1",2
"PYURF",2
"R3HDM4",2
"RAB10",2
"RAB5C",2
"RAB8B",2
"RABEPK",2
"RACGAP1",2
"RAD54B",2
"RAPH1",2
"RARRES2",2
"RASA3",2
"RASGRP3",2
"RB1",2
"RBBP8",2
"RBFOX2",2
"RBFOX3",2
"RBM14-RBM4",2
"RBM24",2
"RBM41",2
"RBMS1",2
"RBMY1A1",2
"RBMY1J",2
"RDH13",2
"REEP3",2
"RELA",2
"RELB",2
"RELL2",2
"RELT",2
"REPS1",2
"RERE",2
"RESP18",2
"REXO2",2
"RFC4",2
"RFC5",2
"RFPL3",2
"RFPL4A",2
"RFX7",2
"RGCC",2
"RGP1",2
"RGS1",2
"RGS16",2
"RGS18",2
"RGS9",2
"RGSL1",2
"RHEBL1",2
"RMI1",2
"RNASE6",2
"RNF128",2
"RNF144A",2
"RNF145",2
"RNF175",2
"RNF26",2
"RNF4",2
"RNF7",2
"RNFT1",2
"RNGTT",2
"RNPEP",2
"ROR2",2
"RPA4",2
"RPGR",2
"RPL24",2
"RPL34",2
"RPL39L",2
"RPP21",2
"RPRM",2
"RPS10",2
"RPS19BP1",2
"RPS2",2
"RPS27",2
"RPUSD4",2
"RRAGD",2
"RRH",2
"RRNAD1",2
"RSG1",2
"RSPO4",2
"RTKN",2
"RTN4IP1",2
"RXFP2",2
"S100A16",2
"SAA1",2
"SAA2",2
"SAAL1",2
"SAMD4B",2
"SATL1",2
"SAXO2",2
"SCAP",2
"SCARA5",2
"SCCPDH",2
"SCNN1A",2
"SCP2",2
"SCYL1",2
"SDF2",2
"SDHAF2",2
"SDR42E1",2
"SEC14L2",2
"SEC23A",2
"SELK",2
"SELO",2
"SELT",2
"SEMA3D",2
"SEMA3G",2
"SEMA4D",2
"SEPHS1",2
"SEPP1",2
"SEPSECS",2
"SERP1",2
"SERP2",2
"SERPINA5",2
"SERPINB5",2
"SERPINI1",2
"SESTD1",2
"SETD9",2
"SETDB1",2
"SETMAR",2
"SH2B1",2
"SH2D2A",2
"SH3BGRL",2
"SH3BP4",2
"SH3D21",2
"SH3GL2",2
"SHBG",2
"SIGLEC10",2
"SIGLEC6",2
"SKAP1",2
"SLC12A2",2
"SLC13A5",2
"SLC14A1",2
"SLC18A3",2
"SLC22A13",2
"SLC22A18",2
"SLC22A23",2
"SLC23A1",2
"SLC25A27",2
